"","V1","V2"
"1",0.760252791722157,0.0995918541916444
"2",0.953519851671158,0.410795768317866
"3",1.09926468681192,0.594347619705884
"4",1.14526747263619,0.781374582334072
"5",1.20030324879046,0.871156344005881
"6",1.30796957883156,1.00341175608259
"7",1.31596813935448,1.13333688581081
"8",1.35964495491542,1.14928520878356
"9",1.36204970683044,1.16899143793087
"10",1.35448189576731,1.21540105820103
"11",1.36413972149559,1.24823671273583
"12",1.35728867740352,1.28446183097188
"13",1.39259607744645,1.3251771076641
"14",1.42089701990174,1.34514239076042
"15",1.41953528956453,1.37720365214342
"16",1.43256840026664,1.40640470028368
"17",1.4141748264186,1.42228956304761
"18",1.41269654829927,1.46955849350278
"19",1.37249903245544,1.47194967017785
"20",1.38729146918767,1.52845229286955
"21",1.41760376772823,1.48093798278986
"22",1.41180102854543,1.51246493585667
"23",1.39129732727554,1.50229063370383
"24",1.40381978284772,1.51824485957908
"25",1.42219582255965,1.5572694831813
"26",1.44446491198765,1.5384352153938
"27",1.44226733533804,1.5219127790329
"28",1.44499871358155,1.52152995907982
"29",1.429556177712,1.46965036953085
"30",1.47486053987582,1.46683001462457
"31",1.51477645155916,1.4713563245207
"32",1.56848248990507,1.49619703750659
"33",1.54499325076039,1.52032848838521
"34",1.55613126599939,1.52616108839841
"35",1.56052324053113,1.5109531494518
"36",1.57169274062921,1.49721442487878
"37",1.59197722065707,1.4886229981695
"38",1.58656334521509,1.49452885395024
"39",1.55799505770452,1.52613081194376
"40",1.52430093240147,1.51699609691263
"41",1.5247876234135,1.50350323802851
"42",1.52992108180371,1.49331658566831
"43",1.50728534326784,1.47861565376763
"44",1.53877837159613,1.48638778298868
"45",1.58412802277993,1.48776883790982
"46",1.56887312090578,1.50099603549621
"47",1.50106390091312,1.52616526348834
"48",1.54119203514362,1.58320798997992
"49",1.59901852424106,1.58341701575503
"50",1.60130131311382,1.55779161511434
"51",1.59885219488302,1.57509962856193
"52",1.55327604354634,1.6044653580833
"53",1.54648468903712,1.60413308857583
"54",1.49838902546734,1.62086929108253
"55",1.51005658516755,1.59370111432617
"56",1.49726685601203,1.59207639544677
"57",1.4523272183782,1.61651157931634
"58",1.46710208509093,1.59222846231053
"59",1.51197718242772,1.5837350932839
"60",1.52653910660773,1.57475909563319
"61",1.49727967611767,1.59189142067977
"62",1.49702355292064,1.58727242921413
"63",1.51460706743278,1.60576908151906
"64",1.50293655091148,1.59991860437978
"65",1.50550094682508,1.59951373165517
"66",1.46541054798042,1.53828674446771
"67",1.49377694986553,1.54897689667328
"68",1.51752495677968,1.57406079786319
"69",1.51756363636997,1.55507175890463
"70",1.46914892373415,1.56732107644874
"71",1.46310729132694,1.62395799751058
"72",1.48004805267277,1.64284252639781
"73",1.4605846923917,1.65021006751878
"74",1.47102134281689,1.60856723082623
"75",1.43779861904669,1.58115961311053
"76",1.41827843094091,1.56560602225594
"77",1.47120637843987,1.57363808740324
"78",1.48048424638382,1.54768690343282
"79",1.51539430866553,1.49265971673684
"80",1.51281142651254,1.47332385172626
"81",1.47251212818331,1.49294618922429
"82",1.49672103973406,1.51558011749739
"83",1.50332733085892,1.54816114777366
"84",1.5227312409948,1.53504326568357
"85",1.54256113748349,1.51963474902829
"86",1.51339526265402,1.48053981559387
"87",1.54459802436615,1.47789055698685
"88",1.54870397476831,1.46845666900365
"89",1.52855701819589,1.48225108224217
"90",1.53858874475552,1.50397096463866
"91",1.52805658285378,1.50414452352758
"92",1.52869997807441,1.50188613007157
"93",1.52673773588617,1.536804346859
"94",1.53965537296697,1.47461973613697
"95",1.51847833756333,1.43932461444953
"96",1.51110176083753,1.49092726196592
"97",1.53309062085025,1.50771244789725
"98",1.5031020531607,1.52482104588322
"99",1.52706005446034,1.51858562455901
"100",1.56399519416088,1.57580732989695
"101",1.60650261742947,1.55578780500075
"102",1.55906037108724,1.53633826311952
"103",1.58695182021458,1.53831558318585
"104",1.51815934861016,1.51045726142839
"105",1.49036622879557,1.48338207025257
"106",1.49554511509438,1.47988675484241
"107",1.48642586517391,1.41862425789054
"108",1.44278394345326,1.48522448055605
"109",1.4139047912461,1.52309542297301
"110",1.40575010106361,1.54991411362035
"111",1.4278583326843,1.52828477346803
"112",1.48034164545944,1.53610059110933
"113",1.50253718493466,1.5361592880324
"114",1.54045716003329,1.52515070865928
"115",1.56014545482208,1.57675168434778
"116",1.57672730319811,1.58696725637
"117",1.57364955446787,1.60572585804025
"118",1.55747614213045,1.58308618194576
"119",1.49296015750655,1.60745113110479
"120",1.53308051506928,1.60654424908296
"121",1.52236131325781,1.5921285629458
"122",1.51728737790849,1.59650632533176
"123",1.49760296906095,1.56046714604526
"124",1.54557676282196,1.59345765538881
"125",1.52440883100723,1.62633248257129
"126",1.49844820088267,1.64978095186191
"127",1.51853468439671,1.64690658673907
"128",1.56946223770475,1.61096990929523
"129",1.59432762224852,1.62300983320218
"130",1.59812077828466,1.5951357291975
"131",1.58304810746954,1.57950977036571
"132",1.58332769772132,1.62050817298774
"133",1.59002032009318,1.62434882558393
